49,111463258872170,The Scindia School,High School
49,47424407936,University of Michigan School of Information,College
49,21105780752,University of Michigan,Graduate School
50,136493553043581,"St. Paul's School, Ajmer",High School
50,109551572397323,University of Michigan,College
50,165249916865198,IIT Bombay,College
50,21105780752,University of Michigan,Graduate School
51,108073849225312,N.St.Mathews Public School,High School
51,139927229354574,NSM Public School,High School
51,139927229354574,NSM Public School,Graduate School
52,110649978963513,St.Mathews Public School,High School
52,102133053161622,st mathews,High School
52,139927229354574,NSM Public School,High School
52,111950078823006,sdumc,College
52,1386534164894096,"SDUMC / SDU university,karnataka",Graduate School
53,139436516067815,Kalpa School,High School
53,191113480975933,VIT University,College
54,112105628816641,Podar International School,High School
54,108479972510577,Fr. Conceicao Rodrigues College of Engineering,College
54,21105780752,University of Michigan,Graduate School
55,286109631493367,Smt. Sulochanadevi Singhania High School,High School
55,21105780752,University of Michigan,College
55,131447386889644,K J Somaiya Institute of Engineering and Information Technology,College
55,114861588530522,Smt. Sulochanadevi Singhania School,College
55,111950378821457,University of Mumbai,Graduate School
56,254168981363487,St. Thomas Public School,High School
56,134006853286777,"St. Thomas Public School, Bangalore",High School
56,110048115684414,"National Public School, Indiranagar",High School
56,110723692284452,IIT Roorkee,College
56,105991699431181,Indian Institute of Technology Roorkee,College
57,108133332554731,Air Force Golden Jubilee Institute,High School
57,102092919832267,"Delhi Public School, R.K. Puram",High School
57,134715633219011,Air Force Bal Bharti School (AFBBS),High School
57,105565246142655,Netaji Subhas Institute of Technology,College
57,21105780752,University of Michigan,Graduate School
58,110437262318079,st.therese convent high school dombivli,High School
58,120288637990356,K J Somaiya College,High School
58,222502211117506,ST. Therese Convent High School,High School
58,111950378821457,University of Mumbai,College
58,103730916332311,Vidyalankar Institute of Technology,College
58,109551572397323,University of Michigan,Graduate School
59,120181491360247,"Apeejay School, Nerul",High School
59,191113480975933,VIT University,College
60,131490296885792,Maria Assumpta Convent School,High School
60,131490296885792,Maria Assumpta Convent School,High School
61,114997681846263,kendriya vidyalaya ongc chandkheda,High School
61,112705492110102,"Harvard Academy, Gandhinagar",High School
61,111889242162690,Kendriya Vidyalaya ONGC Panvel,High School
61,114997681846263,kendriya vidyalaya ongc chandkheda,High School
61,105991699431181,Indian Institute of Technology Roorkee,College
63,21105780752,University of Michigan,Graduate School
64,480426625384138,Haritha Association for Learning from Environment,High School
64,388893407887929,"Chinmaya Vidyalaya, NTPC, India",High School
64,111965942148274,Chaitanya Bharathi Institute of Technology,Graduate School
64,249230031765173,"Jawaharlal Nehru Technological University, Hyderabad",Graduate School
64,23595243153,University of Michigan School of Natural Resources and Environment,Graduate School
65,106473326055067,Colegio San Gabriel Quito,High School
65,109725709054288,Universidad San Francisco de Quito,College
65,112441168769145,Michigan State University,College
65,21105780752,University of Michigan,Graduate School
66,112806792100468,Lady Ratanbai and Sir Mathuradas Vissanji Academy,High School
66,21105780752,University of Michigan,College
66,21105780752,University of Michigan,Graduate School
66,112903508721282,Veermata Jijabai Technological Institute,Graduate School
68,134931783200778,Maharana Mewar Public School,High School
68,112432058835597,"Birla Institute of Technology and Science, Pilani",College
68,21105780752,University of Michigan,Graduate School
69,120255294686496,"Sri Chaitanya Junior Kalasala, Hyderabad",High School
69,129314560440861,Hindu Public School,High School
69,344176410664,IIM Calcutta,Graduate School
69,193836197303011,"Narayana Junior College, Dilsukhnagar (DNM)",College
69,139852829359042,"Sri Chaitanya Junior College, Hyderabad",College
69,129370317102797,Sri Chaitanya Residental College,College
69,105991699431181,Indian Institute of Technology Roorkee,Graduate School
70,108626695834763,"Convent Girls High School, Prabhadevi, Mumbai",High School
70,106049816102290,RN Podar School,High School
70,529918747021724,Maneckji Cooper Education Trust,High School
70,138478446169300,Birla Institute of Technology and Science (BITS) - Pilani,College
70,21105780752,University of Michigan,Graduate School
71,165249916865198,IIT Bombay,College
71,109551572397323,University of Michigan,Graduate School
71,109551572397323,University of Michigan,Graduate School
72,110822685606550,The International School Bangalore,High School
72,115321208483558,RVCE,College
72,110822685606550,The International School Bangalore,College
72,107943839238053,Sri Bhagawan Mahaveer Jain College,College
72,21105780752,University of Michigan,Graduate School
73,188640914531790,Ган Зам 20-р сургууль,High School
73,221182131233453,Sant school,High School
73,109551572397323,University of Michigan,College
74,103698489669660,Padma Seshadri Bala Bhavan,High School
74,114879228524485,PSBB Senior Secondary School,High School
74,105570429476311,P. S. Senior Secondary School,High School
74,21105780752,University of Michigan,Graduate School
74,112416692102804,"Birla Institute of Technology and Science, Pilani – Goa Campus",Graduate School
75,115074998508238,DAV Public School,High School
75,110145572348943,Abu Dhabi Indian School,High School
75,110723692284452,IIT Roorkee,College
77,187256271434823,BKBCE,High School
77,128950510474736,"Central Academy, Kota",High School
77,109567249069918,Indian Institute of Management Lucknow,College
77,105991699431181,Indian Institute of Technology Roorkee,College
78,116440755033226,American School in Taichung,High School
78,108612635837321,The Hong Kong University of Science and Technology,College
78,109551572397323,University of Michigan,College
78,21105780752,University of Michigan,Graduate School
78,108158805879309,Hong Kong University of Science and Technology,College
79,139781912700242,"Kumar Public School, Nuzvid",High School
79,121464334531473,sri gurudatta high school,High School
79,118306894873003,Gurudatta High School,High School
79,108123285875638,Indian Institute of Technology Madras,College
79,110588392295422,IIT Madras,College
80,175281002602950,Maseru English Prep School,High School
80,254333694677760,FIITJEE,High School
80,354640371258148,"Maharishi Vidya Mandir School, Chennai (Madras)",High School
80,129091423793376,"Army Public School, Udhampur",High School
80,134086886612893,"Kendriya Vidyalaya IIT, Chennai (Madras)",High School
80,135095989842648,Valley Public School,High School
80,111797588838956,"Indian Institute of Technology, Roorkee",College
80,110723692284452,IIT Roorkee,College
82,180038628740225,DAV Public School - Safilguda,High School
82,131494786884506,"DAV Public School, Hyderabad",High School
82,105991699431181,Indian Institute of Technology Roorkee,College
82,119965348018658,IIT Roorkee,Graduate School
83,105984886108150,PHS,High School
83,110518835636330,paramitha,High School
83,123122221064169,Sacred Heart Girls High School,High School
83,107939915893952,Sacred Heart Girls High School,High School
83,162624263905762,scared heart school gdk,High School
83,131800873520793,sri chaitanya,High School
83,298825776910908,sri chaitanya iit acedemy(raman bhavan)vijayawada,High School
83,110452412309816,IARE,College
83,108616639168928,sri chaitanya,College
83,123136471063469,Institute of Aeronautical Engineering,College
83,110013335694518,IARE/JNTU,Graduate School
84,129320307104459,sri viswa santhi,High School
84,135441123136314,"narayana junior college,vizag",High School
84,120013811376602,"Sri Chaitanya IIT Academy, Vijayawada",High School
84,131386013561919,sri chaitanya/raman bhavan 3$4,High School
84,122897581086755,"Sri Vishwashanti English Medium School, Vuyyuru",High School
84,106577566061411,Gowtham Concept School,High School
84,129197713784002,SFS School,High School
84,111795688840074,NIT Trichy,College
84,154832414538682,"NARAYANA IIT ACADEMY,VIZAG",College
84,140744189269251,"Sri Chaitanya College, Vijayawada",College
84,471926572900131,"chaitanya junior college,ramanbavan 4",College
84,133684759986642,National Institute of Technology (Regional Engineering College) (REC) (NIT) - Tiruchirapalli,College
84,106417882727285,"National Institute of Technology, Tiruchirappalli",College
85,131800873520793,sri chaitanya,High School
85,122906621086271,New Central School,High School
85,110723692284452,IIT Roorkee,College
85,105991699431181,Indian Institute of Technology Roorkee,College
86,114277458589741,Colegio Benavente,High School
86,485087761566897,Hasseris Gymnasium,High School
86,21105780752,University of Michigan,College
86,16761458703,The University of British Columbia (UBC),College
87,110218369001254,Atomic Energy Junior College,High School
87,105991699431181,Indian Institute of Technology Roorkee,College
88,115626401816839,B Swamidoss English Medium School,High School
88,115895398456686,Ratnam Residential High School,High School
88,106412772744750,Ratnam High School,High School
88,111166735600270,Sri Chitanya College vijayawada,College
88,110588392295422,IIT Madras,College
89,284373638256959,Ryan International School,High School
89,282926568403600,IIT Roorkee,College
90,464527453638612,Padma Seshadri Bala Bhavan Senior Secondary School (PSBB),High School
90,114879228524485,PSBB Senior Secondary School,High School
90,105991699431181,Indian Institute of Technology Roorkee,College
90,119965348018658,IIT Roorkee,Graduate School
91,128831977134454,Bal Niketan Model Senior Secondary School,High School
91,115074998508238,DAV Public School,High School
91,105991699431181,Indian Institute of Technology Roorkee,College
92,137402542943658,Bhavan's Bhagwandas Purohit Vidya Mandir,High School
92,112140445565687,"Bharatiya Vidya Bhavan, Kolkata",High School
92,111073045581236,"Visvesvaraya National Institute of Technology, Nagpur",College
92,21105780752,University of Michigan,Graduate School
93,107815969248409,Prabhu Dayal Public School,High School
93,110946232263598,NSIT,College
93,21105780752,University of Michigan,Graduate School
93,198247806866141,University of Delhi,College
93,105565246142655,Netaji Subhas Institute of Technology,College
94,108549065842382,West High,High School
94,185590428167253,West Torrance High School,High School
94,18058830773,Princeton University,College
94,122449120340,University of Michigan School of Social Work,Graduate School
94,13345778541,University of Michigan School of Public Health,Graduate School
95,132033513494210,Sri Kakatiya School of Excellence,High School
95,120013811376602,"Sri Chaitanya IIT Academy, Vijayawada",High School
95,103753346412729,Sri Kakatiya High School,High School
95,128932663810932,Sri Kakatiya English Medium High School,High School
95,106470142721570,bits pilani hyderabad,College
95,115859595094167,BITS Pilani Hyderabad Campus,College
95,109999675689315,Birla Institute of Technology & Science,Graduate School
96,408028342639767,"vikas high school,kandukur,india",High School
96,112413172103591,Indian Institute of Technology Mandi,Graduate School
97,107970169235801,CAKFMSSS,High School
97,129612307079474,Captain Amol Kalia Fertilizer Model Senior Secondary School,High School
97,133603499995970,Delhi College of Engineering ( DCE ),College
97,109551572397323,University of Michigan,College
97,109424415751227,Delhi College of Engineering,College
97,21105780752,University of Michigan,Graduate School
97,112107792141840,Umich,Graduate School
98,120013811376602,"Sri Chaitanya IIT Academy, Vijayawada",High School
98,122972821079784,"Bhashyam Public School, Vijayawada",High School
98,120397311338955,"Trinity Public School, Hyderabad",High School
98,108071119225896,NITT,College
98,114951778516706,National Institute of Technology Trichy,College
98,140744189269251,"Sri Chaitanya College, Vijayawada",College
98,111795688840074,NIT Trichy,Graduate School
100,105550326148531,manthri,High School
100,109641199054229,Andhra University,College
100,110723692284452,IIT Roorkee,College
100,119965348018658,IIT Roorkee,Graduate School
